ID,Treatment,Expansion
Pot 1,Peanut-Before,0.25
Pot 2,Peanut-Before,0.32
Pot 3,Peanut-Before,0.31
Pot 1,Peanut-After,0.7
Pot 2,Peanut-After,0.69
Pot 3,Peanut-After,0.77
